handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
gian_notty,1,0,13,13,21,0,5,30,4,1,0,5,0,0,0,0,2,0,0,2,61,0,24,0,60,0,0,25,0,0,0,13,0,10,0,0,8
Ado90,0,0,2,2,10,0,0,5,4,0,0,5,0,0,0,0,2,0,0,1,24,0,9,0,13,0,0,2,0,0,0,6,0,2,0,0,2
lh33k,0,0,2,5,2,0,1,4,4,0,2,7,2,0,0,0,2,1,0,0,13,0,4,0,7,0,0,4,0,0,0,1,0,2,0,2,0
kryan1254,0,0,0,1,4,0,0,5,2,0,0,1,0,0,0,0,0,1,0,2,12,0,5,0,12,0,0,2,0,0,0,8,0,3,0,0,0
ironX,2,0,2,3,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,14,1,7,0,11,0,0,1,0,0,0,5,0,3,0,0,2
_vinishhhh_,0,0,1,3,18,0,2,17,3,8,0,3,2,0,0,0,1,0,0,9,30,2,44,0,32,0,0,10,0,1,0,12,0,9,0,3,3
crbaon,2,2,59,42,146,2,25,150,51,37,4,70,16,1,1,0,26,16,2,33,309,4,197,19,303,6,1,87,3,1,5,105,1,52,3,22,32
aw_aw,3,0,16,9,17,0,2,20,19,11,1,16,3,1,0,0,3,3,0,9,41,1,21,0,41,0,0,8,4,1,3,15,0,11,2,7,7
IndusAndDus,1,0,1,2,1,0,0,2,2,0,0,2,0,0,0,0,0,1,0,0,8,0,10,0,6,0,0,2,0,0,0,8,0,5,0,0,0
tanisha_1402,0,0,3,3,3,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,13,0,6,1,6,0,0,0,0,0,0,1,0,2,0,0,1
lazyhazard03,2,0,14,25,63,1,4,67,15,1,1,19,0,0,0,0,9,9,1,0,147,3,100,1,148,0,0,47,1,0,1,43,0,31,1,0,12
newplayer27,1,0,20,12,51,0,9,86,14,1,0,23,4,0,0,0,13,7,1,6,146,0,79,2,97,1,0,25,0,0,0,37,0,29,0,3,13
Wizard_a14,0,0,1,2,14,0,0,12,0,0,0,0,0,0,0,0,3,1,0,0,21,0,14,0,24,0,0,5,0,0,0,9,0,4,0,0,1
Thirsty_Hawk,0,0,1,1,2,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,12,0,8,0,5,0,0,0,0,0,0,3,0,2,0,0,0
avnish666,0,0,2,6,8,0,0,6,1,0,0,0,0,0,0,0,0,1,0,1,19,1,19,0,19,0,0,3,0,1,0,6,0,10,2,0,1
hiraite,0,0,1,3,2,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,16,0,6,0,5,0,0,2,0,0,0,1,0,2,0,0,2
eric.rodrig.gomes,1,0,17,7,30,0,1,26,10,9,1,18,11,0,0,0,5,1,0,13,79,1,52,1,51,0,0,6,2,0,2,24,0,18,2,8,8
dhaanishnihaal,0,0,2,2,6,0,1,4,0,0,0,1,0,0,0,0,2,1,0,0,17,0,8,0,8,0,0,0,0,0,0,4,0,7,0,0,4
SoundPth,1,0,7,5,16,0,0,13,2,2,0,7,3,0,0,0,2,2,1,2,35,0,25,0,25,0,0,2,0,0,0,12,0,5,0,3,4
nilan425,23,1,59,36,188,1,25,232,45,9,3,58,5,2,0,1,36,25,4,11,433,4,339,12,435,2,2,89,5,1,0,127,1,109,4,7,34
chandan_1203,3,0,37,26,72,0,11,82,26,1,0,25,1,1,0,0,15,8,1,2,176,1,82,0,184,0,0,53,0,0,1,66,0,34,0,2,33
HPnotHarryPotter,0,0,0,2,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,11,0,3,0,6,0,0,1,0,0,0,1,0,3,0,0,0
Neon123454321,3,0,3,2,12,0,1,8,2,0,0,3,1,0,0,0,1,0,0,1,19,1,17,4,14,0,1,2,1,0,0,5,0,5,0,1,0
Zahraa-a1839,6,0,60,29,91,0,12,98,25,39,1,78,11,0,0,0,15,6,3,28,191,2,149,7,176,1,0,45,3,1,3,68,0,38,3,25,35
045-ARYS.Bil-temir-2029,2,0,23,14,71,0,4,67,25,7,1,25,11,1,0,0,14,6,1,13,153,1,140,0,133,0,0,33,1,1,4,52,0,48,1,4,15
lazy_coder02,1,0,10,6,75,2,4,43,9,1,0,5,0,1,0,0,8,11,0,1,139,2,225,0,190,0,0,17,0,0,0,55,0,63,1,0,6
Teixayo,2,0,8,3,16,0,0,5,3,0,0,7,1,0,0,0,0,0,0,0,21,1,29,0,22,0,0,6,0,0,0,4,0,8,0,0,7
